code,name,type
5450,寶聯通,tpex
3687,歐買尬,tpex
5481,新華,tpex
3629,地心引力,tpex
6238,勝麗,tpex
00835B,第一金科技債10+,tpex
00837B,永豐15年金融債,tpex
00798B,國泰中企A級債7+,tpex
6497,亞獅康-KY,tpex
5349,先豐,tpex
01001T,土銀富邦R1,twse
01008T,駿馬R1,twse
01007T,兆豐國泰R2,twse
01009T,王道圓滿R1,twse
01005T,三鼎,twse
01004T,土銀富邦R2,twse
01003T,兆豐新光R1,twse
01002T,土銀國泰R1,twse
709966,金居群益9B購01,tpex
709403,雙美國票9B購01,tpex
710505,泰博富邦9B購01,tpex
710502,泰博元大9B購01,tpex
709994,中美晶元大9B購01,tpex
709985,大江富邦9B購02,tpex
709983,群聯日盛9B購01,tpex
708785,信驊中信9B購01,tpex
710499,網家國泰9B購01,tpex
709972,旺矽元大9B購01,tpex
710510,群聯凱基9B購03,tpex
710575,環球晶中信9B購01,tpex
710590,鈺太凱基9B購01,tpex
710566,碩禾元大9B購01,tpex
711126,聯亞元大9B購05,tpex
711127,頎邦元大9B購03,tpex
711131,胡連永豐9B購01,tpex
711132,僑威永豐9B購01,tpex
711133,寶雅永豐9B購01,tpex
710561,威剛元大9B購02,tpex
711134,中美晶群益9B購03,tpex
73193P,神盾元大9B售04,tpex
711135,元太群益9B購01,tpex
710553,穩懋統一9B購03,tpex
710534,鈺太元大9B購01,tpex
710533,鈊象元大9B購04,tpex
711137,胡連群益9B購01,tpex
711139,中美晶凱基9B購02,tpex
710516,宇峻永豐9B購01,tpex
711140,旺矽凱基9B購01,tpex
711141,胡連凱基9B購01,tpex
711145,環球晶國票9B購02,tpex
73107P,原相國票9B售02,tpex
710560,宏捷科元大9B購02,tpex
710509,建榮凱基9B購01,tpex
710569,中美晶富邦9B購04,tpex
8934,衡平,tpex
5304,鼎創達,tpex
00833B,第一金美債20+,tpex
00855B,富邦全球能源債,tpex
00854B,富邦全球保險債,tpex
6438,迅得,tpex
00874B,凱基BBB公司債15+,tpex
00873B,凱基新興債1-5,tpex
00871B,元大中國政金債,tpex
6426,統新,tpex
00868B,FT1-3年美公債,tpex
3092,鴻碩,tpex
6165,浪凡,twse
1453,大將,twse
1456,怡華,twse
3669,圓展,twse
2429,銘旺科,twse
2614,東森,twse
3450,聯鈞,twse
6165,浪凡,twse
2459,敦吉,twse
2241,艾姆勒,twse
1443,立益,twse
8499,鼎炫-KY,twse
6506,雙邦,tpex
5345,天揚,tpex
3685,元創精密,tpex
3313,斐成,tpex
020017,永豐富櫃200N,tpex
6275,元山,tpex
8354,冠好,tpex
3219,倚強股份,tpex
8489,三貝德,tpex
5604,中連貨,tpex
00839B,凱基醫療保健債,tpex
00869B,FT10-25年公司債,tpex
00832B,新光美債20+,tpex
4152,台微體,tpex
00872B,凱基美債1-3,tpex
00880B,第一金電信債15+,tpex
00879B,第一金美債0-1,tpex
2928,紅馬-KY,tpex
3144,新揚科,tpex
4803,VHQ-KY,tpex
020021,統一恒生科技N,tpex
8406,金可-KY,tpex
020009,群益A50綠碳N,tpex
020003,統一漲升股利150N,tpex
4429,聚紡,tpex
6431,光麗-KY,twse
6431,光麗-KY,twse
2340,台亞,twse
2495,普安,twse
00838B,永豐7-10年中國債,tpex
5209,新鼎,tpex
3512,皇龍,tpex
5321,美而快,tpex
8080,永利聯合,tpex
00889B,凱基ESG新興債15+,tpex
5102,富強,tpex
00843B,台新中國政策債,tpex
00796B,中信中國債7-10,tpex
3652,精聯,tpex
020010,永昌富櫃200N,tpex
5820,日盛金,tpex
3642,駿熠電,tpex
00745B,富邦中政債0-1,tpex
02003L,永豐富櫃200正2N,tpex
020013,元富亞洲高股息N,tpex
00747B,FH中國政策債,tpex
020014,元大富櫃200N,tpex
6247,淇譽電,tpex
00748B,凱基中國債3-10,tpex
6869,雲豹能源-創,twse
6873,泓德能源-創,twse
6594,展匯科,tpex
2432,倚天,twse
00765B,群益中國政金債,tpex
1258,其祥-KY,tpex
6728,上洋,tpex
2702,華園,twse
6763,綠界科技,tpex
2701,萬企,twse
8477,創業家,tpex
8077,洛碁,tpex
5321,美而快,tpex
5301,寶得利,tpex
5278,尚凡,tpex
8044,網家,tpex
3252,海灣,tpex
5364,力麗店,tpex
6741,91APP*-KY,tpex
8433,弘帆,tpex
8472,夠麻吉,tpex
3171,新洲,tpex
8066,來思達,tpex
2704,國賓,twse
8462,柏文,twse
3085,新零售,tpex
5287,數字,tpex
2756,聯發國際,tpex
